DATE,DMVPRC1A027NBEA
1929-01-01,0.648
1930-01-01,0.523
1931-01-01,0.433
1932-01-01,0.314
1933-01-01,0.28
1934-01-01,0.346
1935-01-01,0.368
1936-01-01,0.402
1937-01-01,0.433
1938-01-01,0.398
1939-01-01,0.484
1940-01-01,0.53
1941-01-01,0.673
1942-01-01,0.303
1943-01-01,0.366
1944-01-01,0.449
1945-01-01,0.652
1946-01-01,1.391
1947-01-01,1.385
1948-01-01,1.315
1949-01-01,1.216
1950-01-01,1.545
1951-01-01,1.507
1952-01-01,1.633
1953-01-01,1.462
1954-01-01,1.318
1955-01-01,1.582
1956-01-01,1.734
1957-01-01,1.974
1958-01-01,2.122
1959-01-01,2.383
1960-01-01,2.487
1961-01-01,2.569
1962-01-01,2.825
1963-01-01,3.012
1964-01-01,3.237
1965-01-01,3.45
1966-01-01,3.765
1967-01-01,4.001
1968-01-01,4.613
1969-01-01,5.403
1970-01-01,6.087
1971-01-01,7.136
1972-01-01,8.004
1973-01-01,8.898
1974-01-01,9.507
1975-01-01,10.287
1976-01-01,11.367
1977-01-01,12.877
1978-01-01,14.417
1979-01-01,16.335
1980-01-01,17.926
1981-01-01,19.574
1982-01-01,20.43
1983-01-01,22.117
1984-01-01,22.794
1985-01-01,23.483
1986-01-01,23.544
1987-01-01,23.94
1988-01-01,26.311
1989-01-01,26.966
1990-01-01,28.254
1991-01-01,27.803
1992-01-01,28.727
1993-01-01,30.797
1994-01-01,33.737
1995-01-01,35.366
1996-01-01,37.647
1997-01-01,39.133
1998-01-01,39.477
1999-01-01,41.07
2000-01-01,41.788
2001-01-01,41.26
2002-01-01,41.674
2003-01-01,44.121
2004-01-01,47.124
2005-01-01,50.609
2006-01-01,53.442
2007-01-01,56.242
2008-01-01,55.417
2009-01-01,52.859
2010-01-01,56.589
2011-01-01,60.733
2012-01-01,63.306
2013-01-01,65.483
2014-01-01,66.821
2015-01-01,69.846
2016-01-01,71.667
2017-01-01,73.441
2018-01-01,75.383
2019-01-01,77.49
2020-01-01,79.674
2021-01-01,94.438
2022-01-01,102.299
